Title,Word count,#REF!,Type,S.E. omnibus name,In omnibus?,Date published,#REF!,First published in,Also published in,Alternate title(s),Transcription,Page scans,Notes,Custom columns...,by Cowper,Book Number,Hymn Number,Reference or Section,First Line,Meter,Sub-section,Notes
The Borrowed Axe,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iiKI.h1_39.html,https://archive.org/details/worksofrevjohnne03newt/page/351/mode/1up,,,No,I,XXXIX,"2KI 6:5,6","The prophet's sons, in times of old","8,6,8,6",,
More With Us Than With Them,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iiKI.h1_40.html,https://archive.org/details/worksofrevjohnne03newt/page/352/mode/1up,,,No,I,XL,2KI 6:16,Alas! Elisha's servant cry'd,"8,8,8,8",,
Faith's Review and Expectation,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iCH.h1_41.html,https://archive.org/details/worksofrevjohnne03newt/page/353/mode/1up,,,No,I,XLI,"1CH 17:16,17","Amazing grace ! (how sweet the sound,)","8,6,8,6",,
The Joy of the Lord is your Strength,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.NEH.h1_42.html,https://archive.org/details/worksofrevjohnne03newt/page/354/mode/1up,,,No,I,XLII,NEH 9:10,Joy is a fruit that will not grow-,"8,6,8,6",,
Oh that I were as in months past!,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.JOB.h1_43.html,https://archive.org/details/worksofrevjohnne03newt/page/355/mode/1up,,,No,I,XLIII,JOB 29:2,Sweet was tne time when first I felt,"8,6,8,6",,
The Change,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.JOB.h1_44.html,https://archive.org/details/worksofrevjohnne03newt/page/356/mode/1up,,,No,I,XLIV,None,Savior shine and cheer my soul,"7,7,7,7,7,7",,
Pleading for Mercy,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.PSA.h1_45.html,https://archive.org/details/worksofrevjohnne03newt/page/357/mode/1up,,,No,I,XLV,PSA 6,"In mercy, not in wrath, rebuke","8,6,8,6",,
None Upon Earth I Desire Besides Thee,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.PSA.h1_46.html,https://archive.org/details/worksofrevjohnne03newt/page/358/mode/1up,,,No,I,XLVI,PSA 73:25,How tedious and tasteless the hours,"8,8,8,8a",,
The Believer's Safety,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.PSA.h1_47.html,https://archive.org/details/worksofrevjohnne03newt/page/359/mode/1up,,,No,I,XLVII,PSA 91,Incarnate God! the soul that knows,"8,6,8,6",,
Another,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.PSA.h1_48.html,https://archive.org/details/worksofrevjohnne03newt/page/360/mode/1up,,,No,I,XLVIII,PSA 91,That man no guard or weapons needs,"8,8,8,8",,
He Led Them By A Right Way,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.PSA.h1_49.html,https://archive.org/details/worksofrevjohnne03newt/page/361/mode/1up,,,No,I,XLIX,PSA 107:7,When Israel was from Egypt freed,"8,6,8,6",,
What Shall I Render?,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.PSA.h1_50.html,https://archive.org/details/worksofrevjohnne03newt/page/362/mode/1up,,,No,I,L,"PSA 116:12,13","For mercies, countless as the sands","8,6,8,6",,
Dwelling in Mesech,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.PSA.h1_51.html,https://archive.org/details/worksofrevjohnne03newt/page/363/mode/1up,,,No,I,LI,PSA 120:5-7,What a mournful life is mine,"7,7,7,7",,
Wisdom,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.PRO.h1_52.html,https://archive.org/details/worksofrevjohnne03newt/page/364/mode/1up,,,Yes,I,LII,PRO 8:22-31,Ere God had built the mountains,"7,6,7,6",,
A Friend That Sticketh Closer Than A Brother,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.PRO.h1_53.html,https://archive.org/details/worksofrevjohnne03newt/page/365/mode/1up,,,No,I,LIII,PRO 18:24,"One there is, above all others","8,7,8,7,7,7",,
Vanity of Life,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.PRO.h1_54.html,https://archive.org/details/worksofrevjohnne03newt/page/367/mode/1up,,,No,I,LIV,ECC 1:2,The evils that beset our path,"8,6,8,6",,
Vanity of the World,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.PRO.h1_55.html,https://archive.org/details/worksofrevjohnne03newt/page/368/mode/1up,,,Yes,I,LV,None,God gives his mercies to be spent,"8,8,8,8",,
Vanity Of The Creature Sanctified,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.PRO.h1_56.html,https://archive.org/details/worksofrevjohnne03newt/page/368/mode/1up,,,No,I,LVI,None,Honey though the bee prepares,"7,7,7,7",,
The Name Of Jesus,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.SON.h1_57.html,https://archive.org/details/worksofrevjohnne03newt/page/369/mode/1up,,,No,I,LVII,SNG 1:3,How sweet the name of Jesus sounds,"8,6,8,6",,
"O Lord, I Will Praise Thee",,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.SON.h1_58.html,https://archive.org/details/worksofrevjohnne03newt/page/371/mode/1up,,,Yes,I,LVIII,ISA 12,I Will praise thee every day,"7,7,7,7",,
"The Refuge, River, and Rock of the Church",,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.SON.h1_59.html,https://archive.org/details/worksofrevjohnne03newt/page/371/mode/1up,,,No,I,LVIX,ISA 32:2,He who on earth as man was known,"8,6,8,6",,
"Zion; or the City of God",,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.SON.h1_60.html,https://archive.org/details/worksofrevjohnne03newt/page/372/mode/1up,,,No,I,LX,"ISA 33:20,21",Glorious things of thee are spoken,"8,7,8,7",,
"Look Unto Me, And Be Ye Saved",,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.SON.h1_61.html,https://archive.org/details/worksofrevjohnne03newt/page/374/mode/1up,,,No,I,LXI,ISA 45:22,As the serpent rais'd by Moses,"8,7,8,7",,
The good Physician,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.SON.h1_62.html,https://archive.org/details/worksofrevjohnne03newt/page/375/mode/1up,,,No,I,LXII,None,How lost was my condition,"7,6,7,6",,
"To the Afflicted, tossed with Tempests, and not Comforted",,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.SON.h1_63.html,https://archive.org/details/worksofrevjohnne03newt/page/376/mode/1up,,,No,I,LXIII,ISA 54:5-11,"Pensive, doubting, fearful heart","7,7,7,7",,
The Contrite Heart,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.SON.h1_64.html,https://archive.org/details/worksofrevjohnne03newt/page/378/mode/1up,,,Yes,I,LXIV,ISA 57:15,The Lord will happiness divine,"8,6,8,6",,
The future Peace and Glory of the Church,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.SON.h1_65.html,https://archive.org/details/worksofrevjohnne03newt/page/379/mode/1up,,,Yes,I,LXV,ISA 60:15-20,Hear what God the Lord hath spoken,"8,7,8,7",,
The Trust of the Wicked and the Righteous Compared,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.JER.h1_66.html,https://archive.org/details/worksofrevjohnne03newt/page/380/mode/1up,,,No,I,LXVI,JER 17:5-8,As parched in the barren sands,"8,6,8,6",,
Jehovah our Righteousness,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.JER.h1_67.html,https://archive.org/details/worksofrevjohnne03newt/page/381/mode/1up,,,Yes,I,LXVII,JER 23:6,"My God, how perfect are thy ways ","8,6,8,6",,
Ephrain Repenting,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.JER.h1_68.html,https://archive.org/details/worksofrevjohnne03newt/page/381/mode/1up,,,Yes,I,LXVIII,JER 31:18-20,"My God, till I receiv'd thy stroke","8,6,8,6",,
