Title,Word count,#REF!,Type,S.E. omnibus name,In omnibus?,Date published,#REF!,First published in,Also published in,Alternate title(s),Transcription,Page scans,Notes,Custom columns...,by Cowper,Book Number,Hymn Number,Reference or Section,First Line,Meter,Sub-section,Notes
Retirement,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_45.html,https://archive.org/details/worksofrevjohnne03newt/page/618/mode/1up,,,Yes,III,XLV,"Seeking, Pleading, and Hoping.","Far from the world, O Lord, I flee","8,6,8,6",,
Jesus My All,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_46.html,https://archive.org/details/worksofrevjohnne03newt/page/619/mode/1up,,,No,III,XLVI,"Seeking, Pleading, and Hoping.",Why should I fear the darkest hour,"8,8,8",,
The Hidden Life,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_47.html,https://archive.org/details/worksofrevjohnne03newt/page/620/mode/1up,,,Yes,III,XLVII,"Seeking, Pleading, and Hoping.",To tell the Savior all my wants,"8,6,8,6",,
Joy and Peace in Believing,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_48.html,https://archive.org/details/worksofrevjohnne03newt/page/620/mode/1up,,,Yes,III,XLVIII,"Seeking, Pleading, and Hoping.",Sometimes a light surprises,"7,6,7,6",,
True Pleasure,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_49.html,https://archive.org/details/worksofrevjohnne03newt/page/622/mode/1up,,,Yes,III,XLIX,"Seeking, Pleading, and Hoping.",Lord my soul with pleasure springs,"7,6,7,6,7,7,7,6",,
The Christian,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_50.html,https://archive.org/details/worksofrevjohnne03newt/page/623/mode/1up,,,Yes,III,L,"Seeking, Pleading, and Hoping.",Honour and happiness unite,"8,8,8,8",,
Lively Hope and Gracious Fear,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_51.html,https://archive.org/details/worksofrevjohnne03newt/page/623/mode/1up,,,Yes,III,LI,"Seeking, Pleading, and Hoping.",I was a grov'ling creature once,"8,6,8,6",,
Confidence,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_52.html,https://archive.org/details/worksofrevjohnne03newt/page/624/mode/1up,,,No,III,LII,"Seeking, Pleading, and Hoping.",Yes! since God himself has said it,"8,7,8,7,7,7",,
Peace Restored,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_53.html,https://archive.org/details/worksofrevjohnne03newt/page/625/mode/1up,,,No,III,LIII,"Seeking, Pleading, and Hoping.","Oh, speak that gracious word again","8,6,8,6",,
Hear What He Has Done For My Soul!,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_54.html,https://archive.org/details/worksofrevjohnne03newt/page/626/mode/1up,,,No,III,LIV,"Seeking, Pleading, and Hoping.","Sav'd by blood, I live to tell","7,7,7,7",,
